Token,Label
lacto,B-MEDICATION_NAME
cg,O
lactobacillus,O
gg,O
20,O
billion,O
cru,O
capsules,O
take,O
one,B-DOSAGE
capsule,I-DOSAGE
s,O
every,B-FREQUENCY
morning,I-FREQUENCY
for,O
5,O
days,O
mac,O
dual,O
action,O
lozenges,B-MEDICATION_NAME
x,O
18,O
suok,O
1,O
lozenges,O
4,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
for,O
sore,B-NOTE
throat,I-NOTE
do,B-NOTE
not,I-NOTE
take,I-NOTE
more,I-NOTE
than,I-NOTE
12,I-NOTE
lozenges,I-NOTE
in,I-NOTE
24,I-NOTE
hours,I-NOTE
pht,O
ss,O
danzen,B-MEDICATION_NAME
tablet,O
10s,O
tobe,O
taken,O
3,B-FREQUENCY
times,I-FREQUENCY
ep,O
nn,O
one,O
cr,O
sgt,O
faye,O
humidity,O
and,O
light,O
loratadine,B-MEDICATION_NAME
10mg,O
tablet,O
qty,O
10,O
00,O
tab/s,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
every,B-FREQUENCY
moming,I-FREQUENCY
for,O
allergy,B-NOTE
runny,B-NOTE
nose,I-NOTE
itch,O
cc,O
thromycin,B-MEDICATION_NAME
alee,O
tablet,O
20,O
2,O
hu,O
2,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
in,O
the,O
m,O
ing,O
and,B-FREQUENCY
night,I-FREQUENCY
tibiotic,O
treatment,O
to,O
complete,B-NOTE
the,I-NOTE
full,I-NOTE
course,I-NOTE
stop,B-NOTE
taking,I-NOTE
if,I-NOTE
rash,I-NOTE
develops,O
cetamol,B-MEDICATION_NAME
5o0mg,O
tablet,O
2,B-DOSAGE
tablet,I-DOSAGE
s,O
every,O
6,B-FREQUENCY
hours,I-FREQUENCY
4,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
when,B-INSTRUCTION
sary,O
exceed,O
2,O
each,O
tme,O
of,O
8,O
in,O
24,B-FREQUENCY
hours,I-FREQUENCY
to,O
relieve,O
pain,B-NOTE
of,O
reduce,O
fever,B-NOTE
hydroxyzine,B-MEDICATION_NAME
10mg,O
tablet,O
qty,O
14,O
00,O
tab/s,O
05,O
nov,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
every,B-FREQUENCY
night,I-FREQUENCY
may,O
cause,O
drowsiness,B-NOTE
if,O
affected,O
do,O
not,O
drive,O
operate,O
machinery,O
ig,O
bae,O
si,O
ore,O
mate,B-MEDICATION_NAME
as,O
ete,O
amgieomg,O
capsule,O
ee,O
bprs,O
tne,O
cap,O
three,O
tes,O
a,O
day,O
ca,O
sores,O
05,O
at,O
opraiamachery,O
crave,O
fact,O
fo,O
ldr,O
4,O
me,O
a,O
fluvoxamine,B-MEDICATION_NAME
50mg,O
tab,O
faverin,O
a,O
take,O
ahalf,O
tablet,O
s,O
every,B-FREQUENCY
morning,I-FREQUENCY
for,O
4,O
week,O
s,O
then,O
take,O
1,B-DOSAGE
tablet,I-DOSAGE
s,O
every,B-FREQUENCY
morning,I-FREQUENCY
for,O
4,O
week,O
s,O
take,O
with,B-INSTRUCTION
or,I-INSTRUCTION
after,I-INSTRUCTION
food,I-INSTRUCTION
may,O
cause,O
drowsiness,B-NOTE
caution,O
may,O
affect,O
driving,O
high,O
c,O
250rng,O
ascorbic,B-MEDICATION_NAME
acid,I-MEDICATION_NAME
tablets,O
20,O
tabs,O
take,O
2,B-DOSAGE
tab/s,I-DOSAGE
every,B-FREQUENCY
morning,I-FREQUENCY
take,O
after,B-INSTRUCTION
food,I-INSTRUCTION
take,O
let,O
s,O
2,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
8am,O
2pm,O
we,O
hcl,O
lomg,O
tablet,O
return,O
exfed,O
or,O
unused,O
medication,O
to,O
issuing,O
pharmacy,O
for,O
disposal,O
quetiapine,B-MEDICATION_NAME
25mg,O
tab,O
take,O
a,O
quarter,B-DOSAGE
tablet,I-DOSAGE
s,O
every,B-FREQUENCY
night,I-FREQUENCY
when,B-INSTRUCTION
needed,I-INSTRUCTION
may,O
be,O
taken,O
with,B-INSTRUCTION
or,I-INSTRUCTION
without,I-INSTRUCTION
food,I-INSTRUCTION
may,O
cause,O
drowsiness,B-NOTE
or,O
dizziness,B-NOTE
do,O
not,O
drive,O
or,O
operate,O
machinery,O
avoid,B-NOTE
alcohol,I-NOTE
iron,B-MEDICATION_NAME
polymaltose,I-MEDICATION_NAME
100mg,O
cap,O
take,O
1,B-DOSAGE
capsule,I-DOSAGE
s,O
every,B-FREQUENCY
morning,I-FREQUENCY
with,B-INSTRUCTION
meal,I-INSTRUCTION
take,O
with,B-INSTRUCTION
or,I-INSTRUCTION
after,I-INSTRUCTION
food,I-INSTRUCTION
take,O
milk,O
calcium,O
or,O
antacid,O
2,O
hours,O
apart,O
this,O
medicine,O
may,O
colour,O
urine,O
or,O
stools,O
ee,O
es,O
ene,O
es,O
bur,O
ben,O
amlodipine,B-MEDICATION_NAME
5mg,O
tab,O
mist,O
take,O
ahalf,B-DOSAGE
tablet,B-DOSAGE
s,O
every,B-FREQUENCY
morning,I-FREQUENCY
may,O
be,O
taken,O
with,B-INSTRUCTION
or,I-INSTRUCTION
without,I-INSTRUCTION
foo,I-INSTRUCTION
d,O
avoid,B-INSTRUCTION
grapefruit,I-INSTRUCTION
or,O
grapefruit,O
juice,O
while,O
you,O
are,O
using,O
this,O
medicine,O
fluvoxamine,B-MEDICATION_NAME
50mg,O
tab,O
ha,O
vern,O
ildren,O
rb1,O
take,O
1,B-DOSAGE
tablet,I-DOSAGE
s,O
every,B-FREQUENCY
night,I-FREQUENCY
take,O
with,B-INSTRUCTION
or,I-INSTRUCTION
after,I-INSTRUCTION
food,I-INSTRUCTION
may,O
cause,O
drowsiness,B-NOTE
caution,O
may,O
affe,O
driving,O
melatonin,B-MEDICATION_NAME
2mg,O
pr,O
tab,O
circadin,O
take,O
one,B-DOSAGE
tablet,I-DOSAGE
s,O
at,B-FREQUENCY
bedtime,I-FREQUENCY
take,B-INSTRUCTION
1,I-INSTRUCTION
to,I-INSTRUCTION
2,I-INSTRUCTION
hours,I-INSTRUCTION
before,I-INSTRUCTION
sleep,I-INSTRUCTION
swallow,B-INSTRUCTION
whole,O
do,B-NOTE
not,I-NOTE
cut,I-NOTE
crush,I-NOTE
or,I-NOTE
chew,I-NOTE
may,O
cause,O
drowsiness,B-NOTE
or,O
dizziness,B-NOTE
do,O
not,O
drive,O
or,O
operate,O
machinery,O
avoid,O
alcohol,O
ps,O
bet,O
rt,O
geile,O
0,O
1,O
eye/d,O
5ml,O
instill,O
one,O
drop,O
s,O
into,O
both,O
eyes,O
3,B-FREQUENCY
times,I-FREQUENCY
per,O
day,O
when,B-INSTRUCTION
necessary,I-INSTRUCTION
domperidone,B-MEDICATION_NAME
motilium,O
10,O
mg,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
2,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
bloated,O
nausea,B-NOTE
stomach,B-NOTE
discomfort,I-NOTE
zimor,B-MEDICATION_NAME
losec,O
20mg,O
gastric,B-NOTE
take,O
1,O
capis,O
2,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
to,O
be,O
taken,B-INSTRUCTION
30,I-INSTRUCTION
mins,I-INSTRUCTION
before,I-INSTRUCTION
food,I-INSTRUCTION
famotidine,B-MEDICATION_NAME
20mg,O
tab,O
take,O
1,B-DOSAGE
tablet,I-DOSAGE
s,O
2,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
when,B-INSTRUCTION
needed,I-INSTRUCTION
may,O
be,O
taken,O
with,B-INSTRUCTION
or,I-INSTRUCTION
without,I-INSTRUCTION
food,I-INSTRUCTION
arcoxia,B-MEDICATION_NAME
etoricoxib,O
120mg,O
tablets,O
take,O
one,B-DOSAGE
tablet,I-DOSAGE
s,O
daily,O
for,O
10,O
days,O
gunn,O
eey,O
oer,O
oe,O
paracetamol,O
500mg,O
tablets,O
take,O
two,B-DOSAGE
tablet,I-DOSAGE
s,O
four,O
ti,O
necessary,O
for,O
3,O
days,O
imes,O
daily,O
when,B-INSTRUCTION
mild,O
pain,B-NOTE
1,O
3,O
or,O
temp,O
38,O
omeprazole,B-MEDICATION_NAME
20mg,O
capsules,O
take,O
one,B-DOSAGE
capsule,I-DOSAGE
s,O
daily,B-FREQUENCY
for,O
10,O
days,O
take,O
an,B-INSTRUCTION
hour,I-INSTRUCTION
before,I-INSTRUCTION
food,I-INSTRUCTION
or,O
with,B-INSTRUCTION
an,O
empty,O
stomact,O
swallow,B-NOTE
whole,I-NOTE
do,B-NOTE
not,I-NOTE
chew,I-NOTE
or,O
crush,O
goo,O
eee,O
omeprazole,B-MEDICATION_NAME
omenole,O
20mg,O
20,O
caps,O
take,O
2,B-DOSAGE
tab/s,I-DOSAGE
daily,B-FREQUENCY
take,O
before,B-INSTRUCTION
food,I-INSTRUCTION
ne,O
swallow,B-NOTE
whole,I-NOTE
do,B-NOTE
not,I-NOTE
chew,I-NOTE
or,O
crush,O
fe,O
ee,O
serrtiopeptidase,B-MEDICATION_NAME
10,O
mg,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
3,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
enzyme,O
for,O
inflammation,B-NOTE
for,O
inflammation,B-NOTE
ja,O
lea,O
tt,O
famotidine,B-MEDICATION_NAME
20mg,O
qty,O
10,O
tab/s,O
take,O
1,B-DOSAGE
tab,I-DOSAGE
daily,B-FREQUENCY
for,O
gastric/stomach,B-NOTE
protection,O
lacto,B-MEDICATION_NAME
gg,O
lactobacillus,O
gg,O
20,O
billion,O
cfu,O
capsules,O
take,O
one,B-DOSAGE
capsule,I-DOSAGE
s,O
every,B-FREQUENCY
morning,I-FREQUENCY
for,O
5,O
days,O
mac,O
dual,O
action,O
lozenges,B-MEDICATION_NAME
x,O
18,O
suck,O
1,O
lozenges,O
4,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
for,O
sore,O
throat,O
do,O
not,O
take,O
more,O
than,O
12,O
lozenges,O
in,O
24,O
hours,O
danzen,B-MEDICATION_NAME
tablet,O
10s,O
two,O
to,O
be,O
taken,O
3,B-DOSAGE
times,I-DOSAGE
daily,B-FREQUENCY
take,O
with,B-INSTRUCTION
or,I-INSTRUCTION
soon,I-INSTRUCTION
after,I-INSTRUCTION
food,I-INSTRUCTION
loratadine,B-MEDICATION_NAME
10mg,O
tablet,O
qty,O
10,O
00,O
tab/s,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
every,B-FREQUENCY
morning,I-FREQUENCY
for,O
allergy,B-NOTE
runny,I-NOTE
nose,O
itch,O
clarithromycin,B-MEDICATION_NAME
crixan,O
250mg,O
tablet,O
20,O
吃,O
2,O
粒,O
2,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
in,O
the,B-FREQUENCY
morning,I-FREQUENCY
and,B-FREQUENCY
night,I-FREQUENCY
antibiotic,O
treatment,O
to,O
complete,B-NOTE
the,I-NOTE
full,I-NOTE
course,I-NOTE
stop,O
taking,O
if,O
rash,B-NOTE
develops,O
paracetamol,B-MEDICATION_NAME
500mg,O
tablet,O
take,O
2,B-DOSAGE
tablet,I-DOSAGE
s,O
every,O
6,B-FREQUENCY
hours,I-FREQUENCY
4,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
when,B-INSTRUCTION
needed,I-INSTRUCTION
do,O
not,O
exceed,O
2,O
each,O
time,O
or,O
8,O
in,O
24,O
hours,O
to,O
relieve,O
pain,B-NOTE
or,O
reduce,O
fever,B-NOTE
hydroxyzine,B-MEDICATION_NAME
10mg,O
tablet,O
qty,O
14,O
00,O
tab/s,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
every,B-FREQUENCY
night,I-FREQUENCY
may,O
cause,O
drowsiness,B-NOTE
if,O
affected,O
do,O
not,O
drive,O
operate,O
machinery,O
fenfedrin,B-MEDICATION_NAME
4mg/60mg,O
capsule,O
take,O
1,B-DOSAGE
cap,I-DOSAGE
three,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
may,O
cause,O
drowsiness,B-NOTE
do,O
not,O
operate,O
machinery,O
or,O
drive,O
if,O
affected,O
for,O
runny,B-NOTE
and,O
blocked,O
nose,O
post,O
nasal,O
drip,O
fluvoxamine,B-MEDICATION_NAME
50mg,O
tab,O
faverin,O
take,O
a,O
half,B-DOSAGE
tablet,I-DOSAGE
s,O
every,B-FREQUENCY
morning,I-FREQUENCY
for,O
1,O
week,O
s,O
then,O
take,O
1,B-DOSAGE
tablet,I-DOSAGE
s,O
every,B-FREQUENCY
morning,I-FREQUENCY
for,O
4,O
week,O
s,O
take,O
with,B-INSTRUCTION
or,I-INSTRUCTION
after,I-INSTRUCTION
food,I-INSTRUCTION
may,O
cause,O
drowsiness,B-NOTE
caution,O
may,O
affect,O
driving,O
medicine,O
allertec,B-MEDICATION_NAME
10mg,O
runny,B-NOTE
nose,I-NOTE
itch,O
allergy,B-NOTE
1,B-DOSAGE
tab,I-DOSAGE
in,O
the,B-FREQUENCY
morning,I-FREQUENCY
5,B-DOSAGE
tab,I-DOSAGE
medicine,B-MEDICATION_NAME
suniton,O
a,O
muscle,O
relaxant,O
pain,B-NOTE
fever,I-NOTE
1,O
or,O
2,O
tab,O
3,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
10,B-DOSAGE
tab,I-DOSAGE
may,O
cause,O
drowsiness,B-NOTE
ibuprofen,B-MEDICATION_NAME
f,O
c,O
400mg,O
20,O
tabs,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
3,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
for,O
moderate,O
to,O
high,O
fever,B-NOTE
for,O
pain,B-NOTE
relief,O
inflammation,B-NOTE
celebrex,B-MEDICATION_NAME
cap,O
200mg,O
qty,O
10,O
00,O
cap/s,O
take,O
1,B-DOSAGE
cap/s,I-DOSAGE
2,B-FREQUENCY
times,I-FREQUENCY
a,O
day,O
painkiller,B-NOTE
anti,B-NOTE
inflammation,I-NOTE
take,O
after,B-INSTRUCTION
food,I-INSTRUCTION
telfast,B-MEDICATION_NAME
180mg,O
qty,O
10,O
00,O
tab/s,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
1,B-FREQUENCY
time,I-FREQUENCY
a,O
day,O
for,O
nose/allergy,B-NOTE
itch,O
take,O
after,B-INSTRUCTION
food,I-INSTRUCTION
prednisolone,B-MEDICATION_NAME
5mg,O
qty,O
12,O
00,O
tab/s,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
every,B-FREQUENCY
morning,I-FREQUENCY
take,O
after,B-INSTRUCTION
food,I-INSTRUCTION
montelukast,B-MEDICATION_NAME
10mg,O
qty,O
10,O
00,O
tab/s,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
every,B-FREQUENCY
night,I-FREQUENCY
open,B-NOTE
airway,I-NOTE
take,O
after,B-INSTRUCTION
food,I-INSTRUCTION
propranolol,B-MEDICATION_NAME
tablet,O
10mg,O
take,O
1,B-DOSAGE
tab/s,I-DOSAGE
as,B-INSTRUCTION
needed,I-INSTRUCTION
for,O
for,O
acute,B-NOTE
panic,I-NOTE
attack,I-NOTE
